id026,angle225-x0000,y0000
id026,angle270-x0000,y0000
id026,angle315-x0000,y0000
id027,angle000-x0000,y0000
id027,angle045-x0738,y1561
id027,angle090-x0390,y1564
id027,angle135-x0197,y1481
id027,angle180-x0000,y0000
id027,angle225-x0000,y0000
id027,angle270-x0000,y0000
id027,angle315-x0000,y0000
id028,angle000-x0000,y0000
id028,angle045-x0803,y1611
id028,angle090-x0367,y1610
id028,angle135-x0134,y1515
id028,angle180-x0000,y0000
id028,angle225-x0000,y0000
id028,angle270-x0000,y0000
id028,angle315-x0000,y0000
id029,angle000-x0000,y0000
id029,angle045-x0775,y1648
id029,angle090-x0405,y1637
id029,angle135-x0188,y1565
id029,angle180-x0000,y0000
id029,angle225-x0000,y0000
id029,angle270-x0000,y0000
id029,angle315-x0000,y0000
id030,angle000-x0000,y0000
id030,angle045-x0796,y1656
id030,angle090-x0440,y1669
id030,angle135-x0186,y1581
id030,angle180-x0000,y0000
id030,angle225-x0000,y0000
id030,angle270-x0000,y0000
id030,angle315-x0000,y0000
id031,angle000-x0000,y0000
id031,angle045-x0849,y1670
id031,angle090-x0486,y1719
id031,angle135-x0196,y1641
id031,angle180-x0000,y0000
id031,angle225-x0000,y0000
id031,angle270-x0000,y0000
id031,angle315-x0000,y0000
id032,angle000-x0000,y0000
id032,angle045-x0835,y1656
id032,angle090-x0506,y1712
id032,angle135-x0224,y1644
id032,angle180-x0206,y1551
id032,angle225-x0000,y0000
id032,angle270-x0000,y0000
id032,angle315-x0721,y1472
id033,angle000-x0000,y0000
id033,angle045-x0848,y1597
id033,angle090-x0549,y1661
id033,angle135-x0000,y0000
id033,angle180-x0212,y1535
id033,angle225-x0000,y0000
id033,angle270-x0000,y0000
id033,angle315-x0000,y0000
id034,angle000-x0000,y0000
id034,angle045-x0903,y1579
id034,angle090-x0599,y1662
id034,angle135-x0235,y1618
id034,angle180-x0000,y0000
id034,angle225-x0000,y0000
id034,angle270-x0000,y0000
id034,angle315-x0000,y0000
id035,angle000-x0000,y0000
id035,angle045-x0924,y1542
id035,angle090-x0638,y1632
id035,angle135-x0239,y1623
id035,angle180-x0146,y1503
id035,angle225-x0000,y0000
id035,angle270-x0000,y0000
id035,angle315-x0000,y0000
id036,angle000-x0000,y0000
id036,angle045-x0000,y0000
id036,angle090-x0647,y1577
id036,angle135-x0336,y1561
id036,angle180-x0212,y1492
id036,angle225-x0000,y0000
id036,angle270-x0000,y0000
id036,angle315-x0000,y0000
id037,angle000-x0000,y0000
id037,angle045-x0000,y0000
id037,angle090-x0702,y1657
id037,angle135-x0305,y1643
id037,angle180-x0152,y1549
id037,angle225-x0000,y0000
id037,angle270-x0000,y0000
id037,angle315-x0000,y0000
id038,angle000-x0000,y0000
id038,angle045-x0872,y1572
id038,angle090-x0000,y0000
id038,angle135-x0339,y1650
id038,angle180-x0205,y1571
id038,angle225-x0000,y0000
id038,angle270-x0000,y0000
id038,angle315-x0000,y0000
id039,angle000-x0000,y0000
id039,angle045-x0000,y0000
id039,angle090-x0767,y1689
id039,angle135-x0398,y1705
id039,angle180-x0189,y1619
id039,angle225-x0192,y1545
id039,angle270-x0000,y0000
id039,angle315-x0000,y0000
id040,angle000-x0000,y0000
id040,angle045-x0000,y0000
id040,angle090-x0772,y1692
id040,angle135-x0423,y1718
id040,angle180-x0207,y1642
id040,angle225-x0000,y0000
id040,angle270-x0000,y0000
id040,angle315-x0000,y0000
id041,angle000-x0000,y0000
id041,angle045-x0000,y0000
id041,angle090-x0797,y1658
id041,angle135-x0465,y1682
id041,angle180-x0232,y1639
id041,angle225-x0000,y0000
id041,angle270-x0000,y0000
id041,angle315-x0000,y0000
id042,angle000-x0000,y0000
id042,angle045-x0000,y0000
id042,angle090-x0849,y1613
id042,angle135-x0528,y1679
id042,angle180-x0000,y0000
id042,angle225-x0000,y0000
id042,angle270-x0000,y0000
id042,angle315-x0000,y0000
id043,angle000-x0000,y0000
id043,angle045-x0906,y1483
id043,angle090-x0870,y1597
id043,angle135-x0525,y1660
id043,angle180-x0216,y1623
id043,angle225-x0000,y0000
id043,angle270-x0000,y0000
id043,angle315-x0000,y0000
id044,angle000-x0000,y0000
id044,angle045-x0000,y0000
id044,angle090-x0000,y0000
id044,angle135-x0573,y1608
id044,angle180-x0285,y1578
id044,angle225-x0000,y0000
id044,angle270-x0000,y0000
id044,angle315-x0000,y0000
id045,angle000-x0000,y0000
id045,angle045-x0000,y0000
id045,angle090-x0903,y1529
id045,angle135-x0637,y1612
id045,angle180-x0293,y1585
id045,angle225-x0171,y1515
id045,angle270-x0230,y1427
id045,angle315-x0000,y0000
id046,angle000-x0000,y0000
id046,angle045-x0000,y0000
id046,angle090-x0000,y0000
id046,angle135-x0662,y1576
id046,angle180-x0371,y1570
id046,angle225-x0236,y1517
id046,angle270-x0000,y0000
id046,angle315-x0000,y0000
id047,angle000-x0000,y0000
id047,angle045-x0000,y0000
id047,angle090-x0000,y0000
id047,angle135-x0000,y0000
id047,angle180-x0387,y1633
id047,angle225-x0251,y1577
id047,angle270-x0000,y0000
id047,angle315-x0000,y0000
id048,angle000-x0000,y0000
id048,angle045-x0000,y0000
id048,angle090-x0916,y1603
id048,angle135-x0701,y1703
id048,angle180-x0354,y1708
id048,angle225-x0191,y1634
id048,angle270-x0000,y0000
id048,angle315-x0000,y0000
id049,angle000-x0000,y0000
id049,angle045-x0790,y1502
id049,angle090-x0000,y0000
id049,angle135-x0728,y1711
id049,angle180-x0405,y1725
id049,angle225-x0117,y1635
id049,angle270-x0208,y1551
id049,angle315-x0000,y0000
id050,angle000-x0000,y0000
id050,angle045-x0000,y0000
id050,angle090-x0886,y1495
id050,angle135-x0831,y1600
id050,angle180-x0546,y1654
id050,angle225-x0312,y1621
id050,angle270-x0183,y1521
id050,angle315-x0000,y0000
id051,angle000-x0000,y0000
id051,angle045-x0000,y0000
id051,angle090-x0000,y0000
id051,angle135-x0805,y1528
id051,angle180-x0518,y1572
id051,angle225-x0297,y1539
id051,angle270-x0000,y0000
id051,angle315-x0000,y0000
id052,angle000-x0000,y0000
id052,angle045-x0000,y0000
id052,angle090-x0000,y0000
id052,angle135-x0847,y1553
id052,angle180-x0589,y1608
id052,angle225-x0353,y1589
id052,angle270-x0183,y1506
id052,angle315-x0000,y0000
id053,angle000-x0000,y0000
id053,angle045-x0000,y0000
id053,angle090-x0000,y0000
id053,angle135-x0000,y0000
id053,angle180-x0638,y1581
id053,angle225-x0436,y1584
id053,angle270-x0000,y0000
id053,angle315-x0000,y0000
id054,angle000-x0000,y0000
id054,angle045-x0000,y0000
id054,angle090-x0000,y0000
id054,angle135-x0887,y1493
id054,angle180-x0652,y1556
id054,angle225-x0390,y1553
id054,angle270-x0170,y1475
id054,angle315-x0000,y0000
id055,angle000-x0000,y0000
id055,angle045-x0000,y0000
id055,angle090-x0000,y0000
id055,angle135-x0867,y1447
id055,angle180-x0681,y1506
id055,angle225-x0462,y1522
id055,angle270-x0221,y1464
id055,angle315-x0000,y0000
id056,angle000-x0000,y0000
id056,angle045-x0000,y0000
id056,angle090-x0000,y0000
id056,angle135-x0902,y1407
id056,angle180-x0733,y1470
id056,angle225-x0483,y1481
id056,angle270-x0199,y1429
id056,angle315-x0203,y1362
id057,angle000-x0000,y0000
id057,angle045-x0000,y0000
id057,angle090-x0000,y0000
id057,angle135-x0827,y1392
id057,angle180-x0000,y0000
id057,angle225-x0515,y1443
id057,angle270-x0000,y0000
id057,angle315-x0000,y0000
id058,angle000-x0000,y0000
